,通知人,标题,日期,详细链接,附件
0,质量办,关于举办福州大学第七十六场“教学有道”暨版画教学专题研讨会的通知,2025-12-10,https://jwch.fzu.edu.cn/info/1040/14402.htm,[]
1,教学运行,关于2025-2026学年第二学期本科生学期选课的通知,2026-01-05,https://jwch.fzu.edu.cn/info/1036/14463.htm,[]
2,教研教改,福州大学关于收集线上课程资源需求的通知（2026）,2026-01-04,https://jwch.fzu.edu.cn/info/1037/14447.htm,[]
3,质量办,关于举办福州大学第七十七场“教学有道”研讨活动的通知,2025-12-18,https://jwch.fzu.edu.cn/info/1040/14416.htm,[]
4,教学运行,关于2026年元旦放假课程调整的通知,2025-12-29,https://jwch.fzu.edu.cn/info/1036/14431.htm,[]
5,质量办,关于举办福州大学第七十五场“教学有道”研讨活动的通知,2025-12-09,https://jwch.fzu.edu.cn/info/1040/14401.htm,[]
6,计划科,关于组织申报2025-2026学年第二学期通识教育选修课的通知,2025-11-24,https://jwch.fzu.edu.cn//info/1038/14369.htm,[]
7,教材中心,福州大学关于印发教材委员会章程的通知,2025-11-18,https://jwch.fzu.edu.cn//info/1042/14363.htm,[]
8,质量办,关于开展首轮学院本科教学管理质量评估自评工作的通知,2025-12-05,https://jwch.fzu.edu.cn/info/1040/14399.htm,[]
9,教学运行,关于2025-2026学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2025-12-31,https://jwch.fzu.edu.cn/info/1036/14441.htm,"[{'附件名': '【2501史纲随堂考.xlsx】', '下载次数': 195, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16759636'}]"
10,教学运行,关于2025-2026学年第一学期计算机语言类课程期末考试安排的通知,2025-12-31,https://jwch.fzu.edu.cn/info/1036/14442.htm,"[{'附件名': '【2501计算机语言课程期末考-1.10上午.xlsx】', '下载次数': 31, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760440'}]"
11,教学通知,福州大学关于印发教材委员会章程的通知,2025-11-18,https://jwch.fzu.edu.cn//info/1012/14362.htm,[]
12,教学运行,关于做好期末复习考试及下学期开学等工作的通知,2026-01-04,https://jwch.fzu.edu.cn/info/1036/14451.htm,[]
13,计划科,关于2025-2026学年第一学期在校学生申请辅修专业的通知,2025-11-17,https://jwch.fzu.edu.cn//info/1038/14361.htm,[]
14,综合科,关于2025-2026学年第一学期再次开放本科生学生证补办、火车票优惠区间更改及信息采集的通知,2025-11-12,https://jwch.fzu.edu.cn//info/1035/14344.htm,[]
15,教学运行,关于2025-2026学年第一学期《概率论与数理统计》课程期末考试安排的通知,2026-01-06,https://jwch.fzu.edu.cn/info/1036/14465.htm,"[{'附件名': '【2501概率论期末考-1.11下午.xlsx】', '下载次数': 50, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760389'}]"
16,教学运行,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2025-11-24,https://jwch.fzu.edu.cn//info/1036/14373.htm,"[{'附件名': '【2501高等数学A（上）、B（上）、C（上）、D半期考11.30上午.xlsx】', '下载次数': 1093, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735966'}]"
17,教学运行,关于2025-2026学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,2026-01-06,https://jwch.fzu.edu.cn/info/1036/14466.htm,"[{'附件名': '【2501线性代数、线性代数与解析几何期末考-1.18上午.xlsx】', '下载次数': 87, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760390'}]"
18,教学运行,关于2025-2026学年第一学期《大学英语（四）》课程期末考试安排的通知,2026-01-06,https://jwch.fzu.edu.cn/info/1036/14464.htm,"[{'附件名': '【2501英语（四）期末考-1.11上午.xlsx】', '下载次数': 64, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16760387'}]"
19,教学运行,关于2025-2026学年第一学期《工程制图E》课程期末考试安排的通知,2025-12-18,https://jwch.fzu.edu.cn/info/1036/14415.htm,"[{'附件名': '【2501制图E期末考-12.28下午.xlsx】', '下载次数': 191, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16756835'}]"
20,教学运行,关于2025-2026学年第一学期《高等数学A（下）》课程期末考试安排的通知,2025-12-01,https://jwch.fzu.edu.cn/info/1036/14384.htm,"[{'附件名': '【2501高等数学A（下）期末考-12.7上午.xlsx】', '下载次数': 214, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16738452'}]"
21,教学运行,关于2025-2026学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2025-12-01,https://jwch.fzu.edu.cn//info/1036/14383.htm,"[{'附件名': '【2501习概随堂考.xlsx】', '下载次数': 159, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16738448'}]"
22,实践科,关于填报2025年高等教育质量监测数据教学相关数据的通知,2025-12-04,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14395,"[{'附件名': '【2025年高等教育质量监测数据教学相关数据报送表格.rar】', '下载次数': 184, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16739491'}]"
23,教学运行,关于2025-2026学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,2025-12-01,https://jwch.fzu.edu.cn//info/1036/14382.htm,"[{'附件名': '【2501线性代数、线性代数与解析几何半期考12.7下午.xlsx】', '下载次数': 326, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16738466'}]"
24,教学运行,关于公布2025-2026学年各学院转专业实施细则的通知,2025-11-14,https://jwch.fzu.edu.cn//info/1036/14352.htm,"[{'附件名': '【2025-2026学年各学院转专业实施细则.pdf】', '下载次数': 6446, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732856'}]"
25,教学运行,关于2025-2026学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2025-12-18,https://jwch.fzu.edu.cn/info/1036/14414.htm,"[{'附件名': '【2501马原随堂考 .xlsx】', '下载次数': 216, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16756833'}, {'附件名': '【2501毛概随堂考.xlsx】', '下载次数': 182, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16756834'}]"
26,教材中心,关于做好2025-2026学年第二学期教材选用与征订工作的通知,2025-12-12,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14404,"[{'附件名': '【附件1.已出版马克思主义理论研究和建设工程重点教材目录（截至2025年11月，共计122种）.xlsx】', '下载次数': 53, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16741500'}, {'附件名': '【附件2.全国大中专教学用书目录(2026春).xlsx】', '下载次数': 75, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16741501'}, {'附件名': '【附件3.全国大中专教学用书目录(2026春)数字教材.xlsx】', '下载次数': 55, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16741502'}]"
